Municipio,Pop_Urbana,Pop_Rural,Pop_Total,Area,Tax_Urbanização,Dens_dem_hab_km2,Regiao,MRT
"S. C. do Capibaribe ,""85594"",""1988"",""87582"",""368,0 "",""97,73 "",""261,23"",AGRESTE OESTE,MRT V"
"São Caetano ,""27079"",""8195"",""35274"",""372,4 "",""76,77 "",""92,23"",AGRESTE OESTE,MRT V"
"São João ,""9656"",""11656"",""21312"",""235,6 "",""45,31 "",""82,50"",AGRESTE OESTE,MRT V"
"Tacaimbó ,""7085"",""5640"",""12725"",""210,0 "",""55,68 "",""55,91"",AGRESTE OESTE,MRT V"
"Taquaritinga do Norte ,""17961"",""6942"",""24903"",""448,8 "",""72,12 "",""52,41"",AGRESTE OESTE,MRT V"
"Terezinha ,""2860"",""3877"",""6737"",""141,9 "",""42,45 "",""44,48"",AGRESTE OESTE,MRT V"
"Tupanatinga ,""8534"",""15891"",""24425"",""866,1 "",""34,94 "",""27,62"",AGRESTE OESTE,MRT V"
"Venturosa ,""10343"",""5709"",""16052"",""324,7 "",""64,43 "",""50,05"",AGRESTE OESTE,MRT V"
"B. de Guabiraba ,""11390"",""1386"",""12776"",""117,6 "",""89,15 "",""111,44"",BONITO,MRT VI"
"Bonito ,""26208"",""11358"",""37566"",""391,2 "",""69,77 "",""94,96"",BONITO,MRT VI"
"C. de S. Félix ,""14327"",""2777"",""17104"",""50,6 "",""83,76 "",""236,0"",BONITO,MRT VI"
"Sairé ,""6305"",""4935"",""11240"",""197,8 "",""56,09 "",""58,85"",BONITO,MRT VI"
"S. Joaquim do Monte ,""14122"",""6366"",""20488"",""229,6 "",""68,93 "",""88,39"",BONITO,MRT VI"
"Bom Conselho ,""29779"",""15724"",""45503"",""792,043 "",""65,44 "",""60,87"",GARANHUNS,MRT VII"
"Brejão ,""3564"",""5280"",""8844"",""159,786 "",""40,30 "",""56,16"",GARANHUNS,MRT VII"
"Correntes ,""10329"",""7090"",""17419"",""317,793 "",""59,30 "",""56,95"",GARANHUNS,MRT VII"
"Garanhuns ,""115356"",""14052"",""129408"",""458,552 "",""89,14 "",""302,35"",GARANHUNS,MRT VII"
"Lagoa do Ouro ,""6029"",""6103"",""12132"",""198,761 "",""49,70 "",""65,57"",GARANHUNS,MRT VII"
"Terezinha ,""2860"",""3877"",""6737"",""151,450 "",""42,45 "",""47,01"",GARANHUNS,MRT VII"
"Afogados da Ingazeira ,""27402"",""7686"",""35088"",""377,696 "",""78,1 "",""92,9"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Brejinho ,""3386"",""3921"",""7307"",""106,276 "",""46,34 "",""68,76"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Calumbi ,""2180"",""3468"",""5648"",""179,314 "",""38,6 "",""31,5"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Carnaíba ,""7624"",""10950"",""18574"",""427,802 "",""41,05 "",""43,42"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Custódia ,""21716"",""12139"",""33855"",""1.404,127 "",""64,14 "",""24,11"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Flores ,""9364"",""12805"",""22169"",""995,558 "",""42,24 "",""22,27"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Iguaracy ,""6110"",""5669"",""11779"",""838,132 "",""51,87 "",""14,05"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Ingazeira ,""2456"",""2040"",""4496"",""243,669 "",""54,63 "",""18,45"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Itapetim ,""8426"",""5455"",""13881"",""404,85 "",""60,7 "",""34,29"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Quixabá ,""2495"",""4244"",""6739"",""210,705 "",""37,02 "",""31,98"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"São José do Egito ,""20960"",""10869"",""31829"",""794,143 "",""65,85 "",""39,84"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Santa Terezinha ,""6876"",""4115"",""10991"",""200,32 "",""62,56 "",""56,2"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Sertânia ,""18557"",""15230"",""33787"",""2.421,527 "",""54,92 "",""13,95"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Solidão ,""1831"",""3913"",""5744"",""138,399 "",""31,88 "",""41,5"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Tabira ,""19769"",""6658"",""26427"",""388,005 "",""74,81 "",""68,11"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Tuparetama ,""6351"",""1574"",""7925"",""178,57 "",""80,14 "",""44,38"",SERTÃO (MOXOTÓ E PAJEÚ) ,MRT VIII"
"Triunfo ,""7944"",""7062"",""15006"",""191,518 "",""52,94 "",""79,48"",TRIUNFO,MRT IX"
"Santa Cruz da Baixa Verde ,""5277"",""6491"",""11768"",""114,932 "",""44,84 "",""108,77"",TRIUNFO ,MRT IX"
